0.01431,0.000396,0.06785001
0.04351,0.00121,0.2074
0.13438,0.004,0.6456
0.2839,0.0116,1.3856
0.34828,0.023,1.74706
0.3362,0.038,1.77211
0.2908,0.06,1.6692
0.19536,0.09098,1.28764
0.09564,0.13902,0.8129501
0.03201,0.20802,0.46518
0.0049,0.323,0.272
0.0093,0.503,0.1582
0.06327,0.71,0.07824999
0.1655,0.862,0.04216
0.2904,0.954,0.0203
0.4334499,0.9949501,0.008749999
0.5945,0.995,0.0039
0.7621,0.952,0.0021
0.9163,0.87,0.001650001
1.0263,0.757,0.0011
1.0622,0.631,0.0008
1.0026,0.503,0.00034
0.8544499,0.381,0.00019
0.6424,0.265,4.999999e-05
0.4479,0.175,2e-05
0.2835,0.107,0.0
0.1649,0.061,1.90582413132e-21
0.0874,0.032,0.0
0.04677,0.017,-5.87747175411e-39
0.0227,0.00821,0.0
0.01135916,0.004102,4.40810381558e-39
